                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     58,               0.020753,               0.011267,              0.0093971,              0.0012549,                0.97104,                0.84154,                0.87906,                0.62447,                0.96633,                 0.8741,                0.89435,                0.68013,               0.031369,               0.014062,              0.0093899,              0.0044701,              0.0029462,              0.0029462,              0.0029462
                     59,               0.020496,               0.011403,               0.010401,              0.0023026,                0.90637,                0.84678,                0.86466,                0.62324,                0.90637,                0.84678,                0.86466,                0.66381,                 0.0312,               0.014409,              0.0091848,                0.00424,              0.0028225,              0.0028225,              0.0028225
                     60,               0.021546,               0.013286,               0.010417,              0.0018375,                 0.9605,                0.82182,                0.86474,                0.62884,                 0.9605,                0.82182,                0.86474,                 0.6651,               0.031478,               0.014259,              0.0089626,              0.0044437,              0.0026987,              0.0026987,              0.0026987
                     61,               0.021066,               0.012466,               0.010148,              0.0018621,                0.97196,                0.86986,                0.89865,                 0.6415,                0.97196,                0.86986,                0.89865,                0.67249,               0.030478,               0.014263,              0.0090609,              0.0042686,               0.002575,               0.002575,               0.002575
                     62,               0.019787,               0.011675,              0.0099889,              0.0018321,                0.93411,                0.86916,                0.90156,                0.63713,                0.92075,                0.85476,                0.88648,                0.68233,               0.029848,               0.013808,              0.0090923,              0.0039757,              0.0024513,              0.0024513,              0.0024513
                     63,               0.019229,               0.011035,              0.0094245,              0.0017725,                0.87735,                0.85539,                0.89813,                0.64163,                0.87735,                0.85539,                0.88281,                0.67986,               0.029148,               0.013916,              0.0091543,              0.0038458,              0.0023275,              0.0023275,              0.0023275
                     64,                0.01992,               0.012016,               0.010311,              0.0017806,                0.88687,                0.85085,                0.89124,                0.64226,                0.88687,                0.85085,                0.88217,                0.67608,               0.029451,                0.01405,              0.0090914,              0.0046692,              0.0022038,              0.0022038,              0.0022038
                     65,               0.019612,                0.01184,              0.0095106,              0.0012967,                 0.8614,                0.83331,                0.90587,                0.63913,                0.84075,                0.86956,                 0.8961,                0.69194,               0.028395,                0.01435,              0.0093193,              0.0047493,                0.00208,                0.00208,                0.00208
                     66,               0.019094,               0.011339,              0.0090928,              0.0015623,                0.91395,                0.84506,                0.90508,                0.66356,                0.91456,                0.85434,                0.89585,                0.67842,               0.028819,               0.014304,              0.0091629,              0.0044432,              0.0019563,              0.0019563,              0.0019563
                     67,               0.018608,               0.011497,                0.01048,              0.0013342,                 0.9014,                0.85647,                0.89233,                0.64134,                0.91279,                0.86446,                0.88594,                0.68017,               0.029716,               0.014209,              0.0090008,              0.0039803,              0.0018325,              0.0018325,              0.0018325
                     68,               0.017493,               0.010996,              0.0090741,              0.0018137,                0.88302,                0.85476,                0.88904,                0.66256,                0.89333,                0.86667,                0.87765,                 0.6788,               0.029643,               0.014371,              0.0088139,              0.0041187,              0.0017087,              0.0017087,              0.0017087
                     69,               0.018883,                0.01196,                0.01013,              0.0013102,                0.87863,                0.85476,                0.88942,                0.64705,                0.90746,                0.82443,                 0.8631,                0.67547,               0.029672,                0.01437,              0.0087967,              0.0042166,               0.001585,               0.001585,               0.001585
                     70,               0.017907,               0.012073,               0.009971,              0.0017708,                0.93151,                0.84376,                0.90364,                0.65369,                0.93151,                0.84376,                0.88509,                0.68532,               0.028596,                0.01411,              0.0089207,              0.0040558,              0.0014612,              0.0014612,              0.0014612
                     71,               0.018299,               0.011231,              0.0097143,               0.001146,                0.88927,                0.87837,                0.90378,                0.66182,                0.88927,                0.87837,                0.89108,                0.69404,               0.027551,               0.014201,              0.0090866,              0.0041359,              0.0013375,              0.0013375,              0.0013375
                     72,               0.017177,               0.011291,              0.0097161,              0.0011674,                0.86967,                0.84932,                0.89162,                0.66819,                0.86967,                0.84932,                 0.8883,                 0.6902,               0.026834,               0.014459,              0.0091057,              0.0046875,              0.0012138,              0.0012138,              0.0012138
                     73,               0.017476,               0.011158,              0.0096346,             0.00095335,                0.85542,                0.90281,                0.90142,                0.67547,                0.85542,                0.90281,                0.89172,                  0.702,               0.026541,               0.014209,              0.0090876,              0.0053078,                0.00109,                0.00109,                0.00109
                     74,               0.017874,               0.011554,              0.0097995,              0.0013728,                0.85291,                0.87528,                0.89748,                0.66396,                0.85291,                0.87528,                0.88782,                0.69906,                 0.0272,               0.013977,              0.0091915,                0.00569,             0.00096625,             0.00096625,             0.00096625
                     75,               0.018191,               0.011284,              0.0093268,               0.001506,                0.85411,                0.84286,                0.89125,                0.67055,                0.85411,                0.84286,                0.88121,                0.69225,               0.027126,               0.013865,              0.0091705,              0.0064259,              0.0008425,              0.0008425,              0.0008425
                     76,               0.017268,               0.011665,              0.0093086,              0.0011478,                0.86631,                0.82131,                0.88563,                0.66635,                 0.8537,                 0.8535,                0.88197,                0.69946,               0.027329,                0.01384,               0.009285,               0.006657,             0.00071875,             0.00071875,             0.00071875
                     77,               0.017396,               0.011445,               0.010083,               0.001735,                0.84677,                0.85371,                0.88976,                0.67093,                0.84677,                0.85371,                0.87982,                0.68966,               0.027245,               0.013803,              0.0093336,              0.0067669,               0.000595,               0.000595,               0.000595
                     78,               0.016566,               0.011405,              0.0095407,              0.0012882,                0.84411,                0.87182,                0.88571,                0.67032,                0.84411,                0.87182,                 0.8758,                0.69728,               0.026894,               0.013791,              0.0093126,              0.0068436,             0.00047125,             0.00047125,             0.00047125
                     79,               0.016938,               0.011133,               0.010002,              0.0018605,                0.84709,                 0.8657,                0.88377,                0.67528,                0.84709,                 0.8657,                0.87384,                0.68429,               0.026916,               0.013836,              0.0093565,              0.0066536,              0.0003475,              0.0003475,              0.0003475
                     80,                0.85463,                0.89979,                0.90143,                0.67225,                0.85463,                0.89979,                0.89171,                0.70192,               0.026547,               0.014219,              0.0090914,              0.0053055
